Age,Income,Family,Education,Mortgage,Personal Loan,Securities Account,CD Account,Online,CreditCard
25,49,4,1,0,0,1,0,0,0
45,34,3,1,0,0,1,0,0,0
39,11,1,1,0,0,0,0,0,0
35,100,1,2,0,0,0,0,0,0
35,45,4,2,0,0,0,0,0,1
37,29,4,2,155,0,0,0,1,0
53,72,2,2,0,0,0,0,1,0
50,22,1,3,0,0,0,0,0,1
35,81,3,2,104,0,0,0,1,0
34,180,1,3,0,1,0,0,0,0
65,105,4,3,0,0,0,0,0,0
29,45,3,2,0,0,0,0,1,0
48,114,2,3,0,0,1,0,0,0
59,40,4,2,0,0,0,0,1,0
67,112,1,1,0,0,1,0,0,0
60,22,1,3,0,0,0,0,1,1
38,130,4,3,134,1,0,0,0,0
42,81,4,1,0,0,0,0,0,0
46,193,2,3,0,1,0,0,0,0
55,21,1,2,0,0,1,0,0,1
56,25,4,2,111,0,0,0,1,0
57,63,3,3,0,0,0,0,1,0
29,62,1,1,260,0,0,0,1,0
44,43,2,1,163,0,1,0,0,0
36,152,2,1,159,0,0,0,0,1
43,29,3,1,97,0,0,0,1,0
40,83,4,3,0,0,0,0,0,0
46,158,1,1,0,0,0,0,1,1
56,48,1,3,0,0,0,0,1,1
38,119,1,2,0,1,0,1,1,1
59,35,1,3,122,0,0,0,1,0
40,29,1,2,0,0,0,0,1,0
53,41,2,3,193,0,0,0,0,0
30,18,3,3,0,0,0,0,0,0
31,50,4,3,0,0,0,0,1,0
48,81,3,1,0,0,0,0,0,0
59,121,1,1,0,0,0,0,0,1
51,71,1,3,198,0,0,0,0,0
42,141,3,3,0,1,1,1,1,0
38,80,4,3,285,0,0,0,1,0
57,84,3,3,0,0,1,0,0,0
34,60,3,1,0,0,0,0,0,0
32,132,4,2,412,1,0,0,1,0
39,45,1,1,0,0,0,0,1,0
46,104,1,1,0,0,0,0,1,1
57,52,4,1,0,0,0,0,0,1
39,43,3,2,153,0,0,0,1,0
37,194,4,3,211,1,1,1,1,1
56,81,2,3,0,0,0,0,0,1
40,49,1,1,0,0,0,0,0,1
32,8,4,2,0,0,1,0,1,0
61,131,1,1,0,0,0,0,1,0
30,72,1,1,207,0,0,0,0,0
50,190,3,3,240,1,0,0,1,0
29,44,1,3,0,0,0,0,1,0
41,139,2,1,0,0,0,0,1,0
55,29,3,2,0,0,1,1,1,0
56,131,2,3,0,1,0,0,0,0
28,93,2,1,0,0,0,0,0,0
31,188,2,1,455,0,0,0,0,0
49,39,3,2,0,0,1,0,1,0
47,125,1,1,112,0,1,0,0,0
42,22,1,1,0,0,0,0,0,0
42,32,4,2,0,0,0,0,1,0
47,105,2,1,0,0,0,0,0,0
59,131,1,1,0,0,0,0,1,1
62,105,2,1,336,0,0,0,0,0
53,45,4,3,132,0,1,0,0,0
47,60,3,1,0,0,0,0,1,1
53,20,4,1,0,0,0,0,1,0
42,115,1,1,0,0,0,0,0,1
53,69,4,2,0,0,0,0,1,0
44,130,1,1,0,0,0,0,0,1
41,85,1,3,0,0,0,0,1,1
28,135,2,1,0,0,0,0,0,1
31,135,4,2,0,1,0,1,1,1
58,12,3,3,0,0,0,0,0,0
46,29,3,2,0,0,0,0,0,0
54,133,2,3,0,1,0,0,0,0
50,19,2,1,118,0,0,0,1,0
60,41,4,1,174,0,0,0,1,1
47,40,3,2,0,0,0,0,1,0
41,82,1,3,0,0,0,0,1,0
33,50,1,2,0,0,0,0,0,0
46,18,1,3,0,0,0,0,1,0
27,109,4,3,0,0,0,0,0,0
40,42,4,2,126,0,0,0,0,0
48,78,3,1,0,0,0,0,1,0
65,51,2,1,0,0,0,0,1,0
25,113,4,3,0,0,0,0,0,1
55,118,4,2,0,1,0,0,1,0
35,29,4,3,0,0,0,0,1,0
43,34,3,2,0,0,0,0,0,0
60,64,2,3,236,0,1,0,1,0
65,121,1,1,0,0,0,0,0,0
38,48,4,3,0,0,0,0,1,0
41,80,1,1,0,0,0,0,0,0
54,161,1,1,0,0,0,0,1,0
49,94,1,1,0,0,0,0,1,0
66,15,3,3,0,0,0,0,1,0
48,74,1,1,0,0,0,0,1,0
61,30,3,2,0,0,0,0,0,0
53,44,3,3,198,0,0,0,1,1
43,22,2,2,0,0,0,0,1,0
56,38,4,1,166,0,0,0,1,1
24,35,3,2,0,0,1,0,1,0
43,69,4,1,0,0,0,0,1,1
42,43,1,1,136,0,0,0,0,0
33,32,1,3,166,0,0,0,1,0
43,49,1,1,0,0,0,0,1,0
41,9,3,2,0,0,0,0,0,0
62,45,4,2,0,0,0,0,1,0
40,82,3,1,309,0,0,0,0,0
58,92,2,1,103,0,0,0,0,0
39,39,3,3,0,0,0,0,1,0
65,81,3,2,0,0,0,0,1,0
54,35,1,2,0,0,0,0,1,0
58,61,2,3,193,0,0,0,1,0
41,73,3,1,0,0,0,0,1,0
32,112,1,1,366,0,0,0,0,0
54,12,2,3,0,0,0,0,1,0
52,38,3,3,0,0,0,0,1,0
58,73,2,2,0,0,0,0,1,1
37,84,1,2,0,0,1,0,0,0
39,78,4,1,118,0,0,0,1,0
60,80,3,1,0,0,0,0,1,0
31,115,2,1,101,0,0,0,1,1
34,82,1,2,251,0,0,0,1,0
38,74,2,1,0,0,1,0,1,0
41,70,3,3,0,0,0,0,0,1
